date,time,dewptm,hum,pressurem,tempm,wdird,wspdm
2014-08-01,00,11.666666666666666,64.0,1012.0,18.0,213.33333333333334,6.8
2014-08-01,01,13.333333333333334,70.0,1012.0,18.333333333333332,210.0,7.400000000000001
2014-08-01,02,14.333333333333334,75.33333333333333,1012.0,18.666666666666668,213.33333333333334,9.866666666666667
2014-08-01,03,15.0,79.66666666666667,1012.0,18.0,226.66666666666666,9.3
2014-08-01,04,14.666666666666666,80.33333333333333,1012.0,17.666666666666668,223.33333333333334,8.066666666666668
2014-08-01,05,14.333333333333334,81.33333333333333,1012.0,17.333333333333332,186.66666666666666,4.333333333333333
2014-08-01,06,15.0,81.33333333333333,1012.0,18.0,170.0,4.966666666666666
2014-08-01,07,15.0,80.0,1012.3333333333334,18.333333333333332,210.0,5.599999999999999
2014-08-01,08,14.666666666666666,68.66666666666667,1012.3333333333334,20.0,223.33333333333334,9.266666666666667
2014-08-01,09,13.666666666666666,60.0,1013.0,21.0,236.66666666666666,11.733333333333334
2014-08-01,10,13.333333333333334,56.0,1013.0,21.666666666666668,206.66666666666666,11.133333333333333
2014-08-01,11,13.0,50.666666666666664,1012.6666666666666,22.666666666666668,213.33333333333334,12.366666666666667
2014-08-01,12,14.333333333333334,55.0,1013.0,23.0,180.0,14.200000000000001
2014-08-01,13,13.333333333333334,52.333333333333336,1013.0,22.666666666666668,176.66666666666666,13.566666666666668
2014-08-01,14,11.666666666666666,41.666666666666664,1013.0,24.333333333333332,203.33333333333334,12.366666666666667
2014-08-01,15,12.333333333333334,42.333333333333336,1012.6666666666666,24.333333333333332,176.66666666666666,12.366666666666667
2014-08-01,16,11.333333333333334,38.333333333333336,1012.3333333333334,25.0,176.66666666666666,14.833333333333334
2014-08-01,17,10.666666666666666,36.666666666666664,1012.3333333333334,25.0,180.0,16.066666666666666
2014-08-01,18,9.333333333333334,33.666666666666664,1012.0,25.0,173.33333333333334,14.833333333333334
2014-08-01,19,9.333333333333334,34.666666666666664,1012.0,24.666666666666668,170.0,12.966666666666667
2014-08-01,20,9.333333333333334,36.333333333333336,1012.0,23.666666666666668,166.66666666666666,9.866666666666667
2014-08-01,21,10.333333333333334,43.0,1012.3333333333334,22.333333333333332,166.66666666666666,6.8
2014-08-01,22,11.333333333333334,47.0,1013.0,22.0,166.66666666666666,6.2
2014-08-01,23,12.333333333333334,52.666666666666664,1013.0,21.333333333333332,136.66666666666666,8.033333333333333
2014-08-02,00,13.666666666666666,61.333333333333336,1013.0,20.666666666666668,126.66666666666667,9.266666666666667
2014-08-02,01,14.0,64.0,1013.3333333333334,20.0,140.0,9.3
2014-08-02,02,14.0,65.33333333333333,1013.0,20.0,143.33333333333334,8.666666666666666
2014-08-02,03,14.333333333333334,68.66666666666667,1013.0,19.666666666666668,143.33333333333334,8.666666666666666
2014-08-02,04,15.0,71.0,1013.0,20.0,146.66666666666666,11.133333333333333
2014-08-02,05,15.666666666666666,75.66666666666667,1013.0,20.0,136.66666666666666,10.5
2014-08-02,06,16.0,74.0,1012.6666666666666,20.333333333333332,133.33333333333334,11.766666666666666
2014-08-02,07,16.666666666666668,71.0,1012.3333333333334,21.666666666666668,133.33333333333334,14.233333333333334
2014-08-02,08,16.666666666666668,65.66666666666667,1013.0,22.666666666666668,136.66666666666666,15.466666666666667
2014-08-02,09,16.666666666666668,68.0,1013.0,22.333333333333332,140.0,15.433333333333332
2014-08-02,10,17.0,66.33333333333333,1013.0,23.0,136.66666666666666,14.833333333333334
2014-08-02,11,16.0,57.0,1012.3333333333334,24.333333333333332,133.33333333333334,17.900000000000002
2014-08-02,12,15.333333333333334,52.0,1012.3333333333334,25.333333333333332,123.33333333333333,19.733333333333334
2014-08-02,13,15.0,48.0,1012.3333333333334,26.0,120.0,19.133333333333333
2014-08-02,14,13.333333333333334,41.0,1012.0,26.333333333333332,126.66666666666667,19.766666666666666
2014-08-02,15,10.666666666666666,32.0,1012.0,27.0,130.0,24.7
2014-08-02,16,8.666666666666666,28.0,1011.6666666666666,27.0,130.0,24.7
2014-08-02,17,11.666666666666666,37.666666666666664,1011.3333333333334,25.666666666666668,133.33333333333334,22.833333333333332
2014-08-02,18,13.333333333333334,45.666666666666664,1011.3333333333334,24.666666666666668,126.66666666666667,24.066666666666666
2014-08-02,19,13.333333333333334,52.333333333333336,1011.3333333333334,22.666666666666668,120.0,24.066666666666666
2014-08-02,20,13.0,53.333333333333336,1011.3333333333334,22.0,113.33333333333333,22.233333333333334
2014-08-02,21,14.333333333333334,58.333333333333336,1011.3333333333334,22.0,110.0,17.3
2014-08-02,22,15.0,64.0,1011.3333333333334,21.0,110.0,17.900000000000002
2014-08-02,23,15.333333333333334,67.0,1011.0,21.0,110.0,18.53333333333333
2014-08-03,00,16.666666666666668,69.66666666666667,1010.3333333333334,21.666666666666668,110.0,15.433333333333332
2014-08-03,01,17.0,71.0,1010.3333333333334,22.0,116.66666666666667,14.833333333333334
